###run#;trial #;from set #;prime;target;sex;race;target position;r-k(ascii);file name target;file name distracter;seq
2;57;2;mal_fam12;dis57;Male;caucasian;right;157;ac27t.jpg;ac57d.jpg;2
2;58;2;mal_fam13;dis58;Male;caucasian;right;157;ac28t.jpg;ac58d.jpg;6
2;59;2;mal_fam14;dis59;Male;caucasian;left;29;ac29t.jpg;ac59d.jpg;21
2;60;2;mal_fam15;dis60;Male;caucasian;left;29;ac30t.jpg;ac60d.jpg;18
3;61;1;fem_fam01;dis61;Female;caucasian;right;157;ac01t.jpg;ac61d.jpg;1
3;62;1;fem_fam02;dis62;Female;caucasian;left;29;ac02t.jpg;ac62d.jpg;27
3;63;1;fem_fam03;dis63;Female;caucasian;right;157;ac03t.jpg;ac63d.jpg;12
3;64;1;fem_fam04;dis64;Female;caucasian;left;29;ac04t.jpg;ac64d.jpg;6
3;65;1;fem_fam05;dis65;Female;caucasian;right;157;ac05t.jpg;ac65d.jpg;28
3;66;1;fem_fam06;dis66;Female;caucasian;left;29;ac06t.jpg;ac66d.jpg;2
3;67;1;fem_fam07;dis67;Female;caucasian;right;157;ac07t.jpg;ac67d.jpg;7
3;68;2;fem_fam08;dis68;Female;caucasian;left;29;ac08t.jpg;ac68d.jpg;30
3;69;2;fem_fam09;dis69;Female;caucasian;right;157;ac09t.jpg;ac69d.jpg;22
3;70;2;fem_fam10;dis70;Female;caucasian;left;29;ac10t.jpg;ac70d.jpg;25
3;71;2;fem_fam11;dis71;Female;caucasian;right;157;ac11t.jpg;ac71d.jpg;17
3;72;2;fem_fam12;dis72;Female;caucasian;left;29;ac12t.jpg;ac72d.jpg;29
3;73;2;fem_fam13;dis73;Female;caucasian;right;157;ac13t.jpg;ac73d.jpg;14
3;74;2;fem_fam14;dis74;Female;caucasian;left;29;ac14t.jpg;ac74d.jpg;8
3;75;2;fem_fam15;dis75;Female;caucasian;right;157;ac15t.jpg;ac75d.jpg;9
3;76;1;mal_fam01;dis76;Male;caucasian;left;29;ac16t.jpg;ac76d.jpg;16
3;77;1;mal_fam02;dis77;Male;caucasian;right;157;ac17t.jpg;ac77d.jpg;13
3;78;1;mal_fam03;dis78;Male;caucasian;left;29;ac18t.jpg;ac78d.jpg;4
3;79;1;mal_fam04;dis79;Male;caucasian;right;157;ac19t.jpg;ac79d.jpg;23
3;80;1;mal_fam05;dis80;Male;caucasian;left;29;ac20t.jpg;ac80d.jpg;26
3;81;1;mal_fam06;dis81;Male;caucasian;right;157;ac21t.jpg;ac81d.jpg;19
3;82;1;mal_fam07;dis82;Male;caucasian;left;29;ac22t.jpg;ac82d.jpg;15
3;83;1;mal_fam08;dis83;Male;caucasian;right;157;ac23t.jpg;ac83d.jpg;20
3;84;2;mal_fam09;dis84;Male;caucasian;left;29;ac24t.jpg;ac84d.jpg;11
3;85;2;mal_fam10;dis85;Male;caucasian;right;157;ac25t.jpg;ac85d.jpg;10
3;86;2;mal_fam11;dis86;Male;caucasian;left;29;ac26t.jpg;ac86d.jpg;3
3;87;2;mal_fam12;dis87;Male;caucasian;right;157;ac27t.jpg;ac87d.jpg;5
3;88;2;mal_fam13;dis88;Male;caucasian;left;29;ac28t.jpg;ac88d.jpg;21
3;89;2;mal_fam14;dis89;Male;caucasian;right;157;ac29t.jpg;ac89d.jpg;24
3;90;2;mal_fam15;dis90;Male;caucasian;left;29;ac30t.jpg;ac90d.jpg;18
4;91;1;fem_fam01;dis91;Female;caucasian;right;157;ac01t.jpg;ac91d.jpg;6
4;92;1;fem_fam02;dis92;Female;caucasian;right;157;ac02t.jpg;ac92d.jpg;27
4;93;1;fem_fam03;dis93;Female;caucasian;left;29;ac03t.jpg;ac93d.jpg;10
4;94;1;fem_fam04;dis94;Female;caucasian;left;29;ac04t.jpg;ac94d.jpg;11
4;95;1;fem_fam05;dis95;Female;caucasian;right;157;ac05t.jpg;ac95d.jpg;16
4;96;1;fem_fam06;dis96;Female;caucasian;right;157;ac06t.jpg;ac96d.jpg;12
4;97;1;fem_fam07;dis97;Female;caucasian;left;29;ac07t.jpg;ac97d.jpg;14
4;98;2;fem_fam08;dis98;Female;caucasian;left;29;ac08t.jpg;ac98d.jpg;25
4;99;2;fem_fam09;dis99;Female;caucasian;right;157;ac09t.jpg;ac99d.jpg;2
4;100;2;fem_fam10;dis100;Female;caucasian;right;157;ac10t.jpg;ac100d.jpg;15
4;101;2;fem_fam11;dis101;Female;caucasian;left;29;ac11t.jpg;ac101d.jpg;8
4;102;2;fem_fam12;dis102;Female;caucasian;left;29;ac12t.jpg;ac102d.jpg;30
4;103;2;fem_fam13;dis103;Female;caucasian;right;157;ac13t.jpg;ac103d.jpg;19
4;104;2;fem_fam14;dis104;Female;caucasian;right;157;ac14t.jpg;ac104d.jpg;24
4;105;2;fem_fam15;dis105;Female;caucasian;left;29;ac15t.jpg;ac105d.jpg;3
4;106;1;mal_fam01;dis106;Male;caucasian;left;29;ac16t.jpg;ac106d.jpg;1
4;107;1;mal_fam02;dis107;Male;caucasian;right;157;ac17t.jpg;ac107d.jpg;5
4;108;1;mal_fam03;dis108;Male;caucasian;left;29;ac18t.jpg;ac108d.jpg;29
4;109;1;mal_fam04;dis109;Male;caucasian;left;29;ac19t.jpg;ac109d.jpg;23
4;110;1;mal_fam05;dis110;Male;caucasian;left;29;ac20t.jpg;ac110d.jpg;20
4;111;1;mal_fam06;dis111;Male;caucasian;right;157;ac21t.jpg;ac111d.jpg;9
4;112;1;mal_fam07;dis112;Male;caucasian;right;157;ac22t.jpg;ac112d.jpg;13
4;113;1;mal_fam08;dis113;Male;caucasian;left;29;ac23t.jpg;ac113d.jpg;21
4;114;2;mal_fam09;dis114;Male;caucasian;left;29;ac24t.jpg;ac114d.jpg;4
4;115;2;mal_fam10;dis115;Male;caucasian;right;157;ac25t.jpg;ac115d.jpg;26
4;116;2;mal_fam11;dis116;Male;caucasian;right;157;ac26t.jpg;ac116d.jpg;28
4;117;2;mal_fam12;dis117;Male;caucasian;left;29;ac27t.jpg;ac117d.jpg;7
4;118;2;mal_fam13;dis118;Male;caucasian;left;29;ac28t.jpg;ac118d.jpg;18
4;119;2;mal_fam14;dis119;Male;caucasian;right;157;ac29t.jpg;ac119d.jpg;22
4;120;2;mal_fam15;dis120;Male;caucasian;right;157;ac30t.jpg;ac120d.jpg;17
5;121;1;fem_fam01;dis121;Female;caucasian;left;29;ac01t.jpg;ac121d.jpg;8
5;122;1;fem_fam02;dis122;Female;caucasian;right;157;ac02t.jpg;ac122d.jpg;25
5;123;1;fem_fam03;dis123;Female;caucasian;left;29;ac03t.jpg;ac123d.jpg;20
5;124;1;fem_fam04;dis124;Female;caucasian;right;157;ac04t.jpg;ac124d.jpg;17
5;125;1;fem_fam05;dis125;Female;caucasian;left;29;ac05t.jpg;ac125d.jpg;2
5;126;1;fem_fam06;dis126;Female;caucasian;right;157;ac06t.jpg;ac126d.jpg;21
5;127;1;fem_fam07;dis127;Female;caucasian;left;29;ac07t.jpg;ac127d.jpg;26
5;128;2;fem_fam08;dis128;Female;caucasian;right;157;ac08t.jpg;ac128d.jpg;14
5;129;2;fem_fam09;dis129;Female;caucasian;left;29;ac09t.jpg;ac129d.jpg;3
5;130;2;fem_fam10;dis130;Female;caucasian;right;157;ac10t.jpg;ac130d.jpg;22
5;131;2;fem_fam11;dis131;Female;caucasian;left;29;ac11t.jpg;ac131d.jpg;1
5;132;2;fem_fam12;dis132;Female;caucasian;right;157;ac12t.jpg;ac132d.jpg;24
5;133;2;fem_fam13;dis133;Female;caucasian;left;29;ac13t.jpg;ac133d.jpg;12
5;134;2;fem_fam14;dis134;Female;caucasian;right;157;ac14t.jpg;ac134d.jpg;9
5;135;2;fem_fam15;dis135;Female;caucasian;left;29;ac15t.jpg;ac135d.jpg;29
5;136;1;mal_fam01;dis136;Male;caucasian;right;157;ac16t.jpg;ac136d.jpg;18
5;137;1;mal_fam02;dis137;Male;caucasian;left;29;ac17t.jpg;ac137d.jpg;5
5;138;1;mal_fam03;dis138;Male;caucasian;right;157;ac18t.jpg;ac138d.jpg;11
5;139;1;mal_fam04;dis139;Male;caucasian;left;29;ac19t.jpg;ac139d.jpg;10
5;140;1;mal_fam05;dis140;Male;caucasian;right;157;ac20t.jpg;ac140d.jpg;19
5;141;1;mal_fam06;dis141;Male;caucasian;left;29;ac21t.jpg;ac141d.jpg;15
5;142;1;mal_fam07;dis142;Male;caucasian;right;157;ac22t.jpg;ac142d.jpg;23
5;143;1;mal_fam08;dis143;Male;caucasian;left;29;ac23t.jpg;ac143d.jpg;6
5;144;2;mal_fam09;dis144;Male;caucasian;right;157;ac24t.jpg;ac144d.jpg;27
5;145;2;mal_fam10;dis145;Male;caucasian;left;29;ac25t.jpg;ac145d.jpg;7
5;146;2;mal_fam11;dis146;Male;caucasian;right;157;ac26t.jpg;ac146d.jpg;4
5;147;2;mal_fam12;dis147;Male;caucasian;left;29;ac27t.jpg;ac147d.jpg;13
5;148;2;mal_fam13;dis148;Male;caucasian;right;157;ac28t.jpg;ac148d.jpg;16
5;149;2;mal_fam14;dis149;Male;caucasian;left;29;ac29t.jpg;ac149d.jpg;28
5;150;2;mal_fam15;dis150;Male;caucasian;right;157;ac30t.jpg;ac150d.jpg;30
