run;trial;from set;prime;target;sex;race;target position;r-k(ascii);file name target;file name distracter;seq;age
1;42;1;m12;dis42;male;caucasian;right;29;Fam42_03_15_m.jpg;Dis01_for_Fam42_03_15_m.jpg;11;15
1;43;2;m13;dis43;male;caucasian;left;157;Fam43_05_16_m.jpg;Dis01_for_Fam43_05_16_m.jpg;40;16
1;44;1;m14;dis44;male;caucasian;right;29;Fam44_06_17_m.jpg;Dis01_for_Fam44_06_17_m.jpg;33;17
1;45;2;m15;dis45;male;caucasian;left;157;Fam45_06_18_m.jpg;Dis01_for_Fam45_06_18_m.jpg;4;18
1;46;4;m16;dis46;male;caucasian;right;29;Fam46_015_4_m.jpg;Dis01_for_Fam46_015_4_m.jpg;7;4
1;47;3;m17;dis47;male;caucasian;left;157;Fam47_016_5_m.jpg;Dis01_for_Fam47_016_5_m.jpg;2;5
1;48;4;m18;dis48;male;caucasian;right;29;Fam48_010_6_m.jpg;Dis01_for_Fam48_010_6_m.jpg;26;6
1;49;3;m19;dis49;male;caucasian;left;157;Fam49_012_7_m.jpg;Dis01_for_Fam49_012_7_m.jpg;37;7
1;50;4;m20;dis50;male;caucasian;right;29;Fam50_010_8_m.jpg;Dis01_for_Fam50_010_8_m.jpg;41;8
1;51;3;m21;dis51;male;caucasian;left;157;Fam51_015_9_m.jpg;Dis01_for_Fam51_015_9_m.jpg;8;9
1;52;4;m22;dis52;male;caucasian;right;29;Fam52_015_10_m.jpg;Dis01_for_Fam52_015_10_m.jpg;16;10
1;53;3;m23;dis53;male;caucasian;left;157;Fam53_010_11_m.jpg;Dis01_for_Fam53_010_11_m.jpg;25;11
1;54;4;m24;dis54;male;caucasian;right;29;Fam54_012_12_m.jpg;Dis01_for_Fam54_012_12_m.jpg;36;12
1;55;3;m25;dis55;male;caucasian;left;157;Fam55_013_13_m.jpg;Dis01_for_Fam55_013_13_m.jpg;39;13
1;56;4;m26;dis56;male;caucasian;right;29;Fam56_09_14_m.jpg;Dis01_for_Fam56_09_14_m.jpg;10;14
1;57;3;m27;dis57;male;caucasian;left;157;Fam57_04_15_m.jpg;Dis01_for_Fam57_04_15_m.jpg;5;15
1;58;4;m28;dis58;male;caucasian;right;29;Fam58_010_16_m.jpg;Dis01_for_Fam58_010_16_m.jpg;9;16
1;59;3;m29;dis59;male;caucasian;left;157;Fam59_010_17_m.jpg;Dis01_for_Fam59_010_17_m.jpg;41;17
1;60;4;m30;dis60;male;caucasian;right;29;Fam60_010_18_m.jpg;Dis01_for_Fam60_010_18_m.jpg;12;18
2;61;1;fam01;dis61;female;caucasian;right;157;Fam01_01_4_f.jpg;Dis02_for_Fam01_01_4_f.jpg;44;4
2;62;2;fam02;dis62;female;caucasian;left;29;Fam02_08_5_f.jpg;Dis02_for_Fam02_08_5_f.jpg;13;5
2;63;1;fam03;dis63;female;caucasian;right;157;Fam_03_02_6_f.jpg;Dis02_for_Fam_03_02_6_f.jpg;18;6
2;64;2;fam04;dis64;female;caucasian;left;29;Fam04_01_7_f.jpg;Dis02_for_Fam04_01_7_f.jpg;21;7
2;65;1;fam05;dis65;female;caucasian;right;157;Fam05_05_8_f.jpg;Dis02_for_Fam05_05_8_f.jpg;31;8
2;66;2;fam06;dis66;female;caucasian;left;29;Fam06_03_9_f.jpg;Dis02_for_Fam06_03_9_f.jpg;26;9
2;67;1;fam07;dis67;female;caucasian;right;157;Fam07_011_10_f.jpg;Dis02_for_Fam07_011_10_f.jpg;15;10
2;68;2;fam08;dis68;female;caucasian;left;29;Fam08_02_11_f.jpg;Dis02_for_Fam08_02_11_f.jpg;34;11
2;69;1;fam09;dis69;female;caucasian;right;157;Fam09_01_12_f.jpg;Dis02_for_Fam09_01_12_f.jpg;16;12
2;70;2;fam10;dis70;female;caucasian;left;29;Fam10_01_13_f.jpg;Dis02_for_Fam10_01_13_f.jpg;16;13
2;71;1;fam11;dis71;female;caucasian;right;157;Fam11_04_14_f.jpg;Dis02_for_Fam11_04_14_f.jpg;4;14
2;72;2;fam12;dis72;female;caucasian;left;29;Fam12_08_15_f.jpg;Dis02_for_Fam12_08_15_f.jpg;31;15
2;73;1;fam13;dis73;female;caucasian;right;157;Fam13_03_16_f.jpg;Dis02_for_Fam13_03_16_f.jpg;37;16
2;74;2;fam14;dis74;female;caucasian;left;29;Fam14_04_17_f.jpg;Dis02_for_Fam14_04_17_f.jpg;15;17
2;75;1;fam15;dis75;female;caucasian;right;157;Fam15_01_18_f.jpg;Dis02_for_Fam15_01_18_f.jpg;14;18
2;76;3;fam16;dis76;female;caucasian;left;29;Fam16_03_4_f.jpg;Dis02_for_Fam16_03_4_f.jpg;43;4
2;77;4;fam17;dis77;female;caucasian;right;157;Fam17_010_5_f.jpg;Dis02_for_Fam17_010_5_f.jpg;33;5
2;78;3;fam18;dis78;female;caucasian;left;29;Fam18_010_6_f.jpg;Dis02_for_Fam18_010_6_f.jpg;30;6
2;79;4;fam19;dis79;female;caucasian;right;157;Fam19_03_7_f.jpg;Dis02_for_Fam19_03_7_f.jpg;39;7
2;80;3;fam20;dis80;female;caucasian;left;29;Fam20_07_8_f.jpg;Dis02_for_Fam20_07_8_f.jpg;9;8
2;81;4;fam21;dis81;female;caucasian;right;157;Fam21_014_9_f.jpg;Dis02_for_Fam21_014_9_f.jpg;13;9
2;82;3;fam22;dis82;female;caucasian;left;29;Fam22_013_10_f.jpg;Dis02_for_Fam22_013_10_f.jpg;44;10
2;83;4;fam23;dis83;female;caucasian;right;157;Fam23_07_11_f.jpg;Dis02_for_Fam23_07_11_f.jpg;18;11
2;84;3;fam24;dis84;female;caucasian;left;29;Fam24_07_12_f.jpg;Dis02_for_Fam24_07_12_f.jpg;23;12
2;85;4;fam25;dis85;female;caucasian;right;157;Fam25_010_13_f.jpg;Dis02_for_Fam25_010_13_f.jpg;35;13
2;86;3;fam26;dis86;female;caucasian;left;29;Fam26_012_14_f.jpg;Dis02_for_Fam26_012_14_f.jpg;31;14
2;87;4;fam27;dis87;female;caucasian;right;157;Fam27_011_15_f.jpg;Dis02_for_Fam27_011_15_f.jpg;32;15
2;88;3;fam28;dis88;female;caucasian;left;29;Fam28_09_16_f.jpg;Dis02_for_Fam28_09_16_f.jpg;45;16
2;89;4;fam29;dis89;female;caucasian;right;157;Fam29_011_17_f.jpg;Dis02_for_Fam29_011_17_f.jpg;2;17
2;90;3;fam30;dis90;female;caucasian;left;29;Fam30_02_18_f.jpg;Dis02_for_Fam30_02_18_f.jpg;28;18
2;91;2;m01;dis91;male;caucasian;right;157;Fam31_06_4_m.jpg;Dis02_for_Fam31_06_4_m.jpg;42;4
2;92;1;m02;dis92;male;caucasian;left;29;Fam32_013_5_m.jpg;Dis02_for_Fam32_013_5_m.jpg;36;5
2;93;2;m03;dis93;male;caucasian;right;157;Fam33_03_6_m.jpg;Dis02_for_Fam33_03_6_m.jpg;30;6
2;94;1;m04;dis94;male;caucasian;left;29;Fam34_010_7_m.jpg;Dis02_for_Fam34_010_7_m.jpg;40;7
2;95;2;m05;dis95;male;caucasian;right;157;Fam35_07_8_m.jpg;Dis02_for_Fam35_07_8_m.jpg;24;8
2;96;1;m06;dis96;male;caucasian;left;29;Fam36_02_9_m.jpg;Dis02_for_Fam36_02_9_m.jpg;41;9
2;97;2;m07;dis97;male;caucasian;right;157;Fam37_010_10_m.jpg;Dis02_for_Fam37_010_10_m.jpg;38;10
2;98;1;m08;dis98;male;caucasian;left;29;Fam38_02_11_m.jpg;Dis02_for_Fam38_02_11_m.jpg;27;11
2;99;2;m09;dis99;male;caucasian;right;157;Fam39_03_12_m.jpg;Dis02_for_Fam39_03_12_m.jpg;20;12
2;100;1;m10;dis100;male;caucasian;left;29;Fam40_010_13_m.jpg;Dis02_for_Fam40_010_13_m.jpg;13;13
2;101;2;m11;dis101;male;caucasian;right;157;Fam41_01_14_m.jpg;Dis02_for_Fam41_01_14_m.jpg;6;14
2;102;1;m12;dis102;male;caucasian;left;29;Fam42_03_15_m.jpg;Dis02_for_Fam42_03_15_m.jpg;8;15
